tracking_id,source,campaign,influencer_id,user_id,product,date,orders,revenue
TRK00001,influencer_marketing,HKV_GlowUp,INF001,3678d797-b6ae-4776-99a7-9479198de823,Omega 3,2025-07-22 12:01:24,1,956.61
TRK00002,influencer_marketing,HKV_DailyWellness,INF001,47ee7944-6bad-4f78-a88f-603365f36a60,Gummy Stars,2025-07-22 12:01:24,1,621.92
TRK00003,influencer_marketing,HKV_DailyWellness,INF001,9651ef8b-1623-409c-acfa-7d0cd74b525c,SuperMilk for Kids,2025-07-24 12:01:24,1,927.03
TRK00004,influencer_marketing,MB_SummerFit,INF001,78fe0fd5-69f0-4e93-8746-1f9249dd2ad9,Creatine,2025-07-27 12:01:24,1,1814.14
TRK00005,influencer_marketing,MB_NewYearBulk,INF001,2d177768-d127-4476-9afe-e6420ff014f5,SuperMilk for Kids,2025-06-20 16:05:20,1,710.84
TRK00006,influencer_marketing,HKV_DailyWellness,INF001,a55482a5-c73a-4abe-ac7d-d33499b970f8,Whey Protein,2025-06-20 16:05:20,1,3062.49
TRK00007,influencer_marketing,HKV_GlowUp,INF001,0aaba618-d891-442c-bc7f-c79ac7db8e92,Gummy Stars,2025-06-15 16:05:20,1,549.23
TRK00008,influencer_marketing,MB_NewYearBulk,INF001,131a6770-d61d-4cc2-a6b0-bb1d54e27a76,Whey Protein,2025-06-17 16:05:20,1,1749.29
TRK00009,influencer_marketing,Gritzo_KidsHealth,INF001,d90ea64d-146f-4b73-b537-d27f3be6b535,Mass Gainer,2025-06-18 16:05:20,1,4294.45
TRK00010,influencer_marketing,HKV_DailyWellness,INF001,93ec2838-c293-4e30-9d2e-e3de49e738ef,Whey Protein,2025-07-24 21:38:54,1,4282.15
TRK00011,influencer_marketing,Gritzo_KidsHealth,INF001,f6570e82-e8d0-4e76-967c-6d4397df0c61,SuperMilk for Kids,2025-07-23 21:38:54,1,619.04
TRK00012,influencer_marketing,Gritzo_KidsHealth,INF001,33bb1b94-7f54-4fda-be1e-e35f54f5105a,Biotin,2025-07-23 21:38:54,1,1231.8
TRK00013,influencer_marketing,HKV_GlowUp,INF001,580b7b1f-f312-4a40-bc11-32b42985bb2e,Biotin,2025-07-23 21:38:54,1,722.74
TRK00014,influencer_marketing,Gritzo_KidsHealth,INF001,4777bb30-1cb6-48cc-9bbf-92c35d75d4d3,SuperMilk for Kids,2025-07-20 21:38:54,1,850.85
TRK00015,influencer_marketing,MB_NewYearBulk,INF002,7212c56b-43a3-402b-9123-e493121c7896,Creatine,2025-03-26 00:14:04,1,4882.0
TRK00016,influencer_marketing,HKV_DailyWellness,INF002,a6150f3f-f3fc-4368-baaf-0b15b0c7656a,Protein Oats for Teens,2025-03-29 00:14:04,1,835.9
TRK00017,influencer_marketing,HKV_DailyWellness,INF002,cb5687f4-597d-466c-9d57-a37f9a996f92,Omega 3,2025-03-28 00:14:04,1,1097.08
TRK00018,influencer_marketing,MB_NewYearBulk,INF002,892a606a-1634-4820-a94e-2fb72a80a3ea,Creatine,2025-03-26 00:14:04,1,2961.33
TRK00019,influencer_marketing,HKV_GlowUp,INF002,dd2a1700-444b-4a65-9fc4-36c37e729d2b,Creatine,2025-03-27 00:14:04,1,3433.05
TRK00020,influencer_marketing,Gritzo_KidsHealth,INF002,ba4580df-b9fb-45c1-ac7e-7240aa516df7,Gummy Stars,2025-05-17 09:59:54,1,331.2
TRK00021,influencer_marketing,Gritzo_KidsHealth,INF002,fcd20827-714b-4218-b54b-d399aadde254,Biotin,2025-05-15 09:59:54,1,509.24
TRK00022,influencer_marketing,Gritzo_KidsHealth,INF002,5fbd17cc-3b73-4247-bc56-b20c5d2f96a0,Whey Protein,2025-05-15 09:59:54,1,1715.58
TRK00023,influencer_marketing,HKV_DailyWellness,INF002,b4a1868d-77c8-4508-8909-cee4454522e1,Collagen,2025-05-17 09:59:54,1,1814.72
TRK00024,influencer_marketing,HKV_GlowUp,INF002,5ebfdf07-743f-411a-b01c-5b997ed45212,BCAA,2025-05-16 09:59:54,1,4172.66
TRK00025,influencer_marketing,MB_SummerFit,INF002,430b829b-0922-4208-847c-6cece160ca36,BCAA,2025-05-18 09:59:54,1,2182.95
TRK00026,influencer_marketing,HKV_DailyWellness,INF002,00548b5a-dd76-45d0-8547-f8d5575687e3,Protein Oats for Teens,2025-05-17 09:59:54,1,795.12
TRK00027,influencer_marketing,Gritzo_KidsHealth,INF002,d4a0fdc4-7655-4aed-9316-2852be815cbe,SuperMilk for Kids,2025-05-15 09:59:54,1,880.82
TRK00028,influencer_marketing,MB_SummerFit,INF002,b2ae7dcf-1224-4a0a-b851-5c0f6dd69e04,Gummy Stars,2025-05-18 09:59:54,1,602.67
TRK00029,influencer_marketing,MB_NewYearBulk,INF002,98ff2548-ee26-4320-beb4-c3c95b680b04,Mass Gainer,2025-05-18 09:59:54,1,1553.64
TRK00030,influencer_marketing,MB_NewYearBulk,INF002,9cd5aaa3-6b03-4fef-abd9-1157048e6e5d,Gummy Stars,2025-05-16 09:59:54,1,764.91
TRK00031,influencer_marketing,HKV_GlowUp,INF002,a1ef1dad-1349-4de9-bfa1-83e293751163,Omega 3,2025-05-16 09:59:54,1,1431.45
TRK00032,influencer_marketing,Gritzo_KidsHealth,INF002,076982af-cd59-486c-a585-e2318322ab44,Protein Oats for Teens,2025-05-14 09:59:54,1,900.41
TRK00033,influencer_marketing,MB_SummerFit,INF002,d02ad408-98da-4042-827f-8671106a56b5,Whey Protein,2025-05-14 09:59:54,1,4096.19
TRK00034,influencer_marketing,MB_SummerFit,INF002,93d84986-16a8-4187-b7ae-ca11be9b053a,Collagen,2025-05-15 09:59:54,1,1104.97
TRK00035,influencer_marketing,MB_NewYearBulk,INF002,60d6e3fd-0546-4e1d-91e5-dab7ec8b76f1,Multivitamin,2025-05-14 09:59:54,1,1672.04
TRK00036,influencer_marketing,MB_SummerFit,INF002,5f8dff7e-3df6-48fa-82a3-2671d83c6c0e,Gummy Stars,2025-05-16 09:59:54,1,572.18
TRK00037,influencer_marketing,MB_NewYearBulk,INF002,47609fdc-d2eb-4421-aff9-d0ca4ba4bde0,Whey Protein,2025-05-17 09:59:54,1,2739.35
TRK00038,influencer_marketing,HKV_DailyWellness,INF002,6d5e174c-e1ef-41b3-8221-c556da17808c,SuperMilk for Kids,2025-05-19 09:59:54,1,938.76
TRK00039,influencer_marketing,Gritzo_KidsHealth,INF002,b4241e4d-71b1-4464-ba58-c8660acb98d4,Protein Oats for Teens,2025-05-16 09:59:54,1,857.96
TRK00040,influencer_marketing,MB_NewYearBulk,INF002,916369ac-c47c-48d0-95eb-5bd84e05120e,Creatine,2025-05-17 09:59:54,1,3840.64
TRK00041,influencer_marketing,HKV_DailyWellness,INF002,1f03ee46-a0b9-4631-ae32-5a077881e7de,Protein Oats for Teens,2025-05-18 09:59:54,1,411.31
TRK00042,influencer_marketing,HKV_DailyWellness,INF002,41a52ee8-463d-40d8-bdec-b3fa14ce76fd,Gummy Stars,2025-05-18 09:59:54,1,471.07
TRK00043,influencer_marketing,Gritzo_KidsHealth,INF002,beb3050f-9a79-4149-a938-76e2be7a26c5,Multivitamin,2025-05-17 09:59:54,1,1876.86
TRK00044,influencer_marketing,Gritzo_KidsHealth,INF002,2117218c-5627-4a01-9834-aed19900599a,Multivitamin,2025-05-15 09:59:54,1,918.83
TRK00045,influencer_marketing,HKV_GlowUp,INF002,7a2295e6-ef15-4a3e-954e-a9277e57a822,Mass Gainer,2025-05-16 09:59:54,1,4699.08
TRK00046,influencer_marketing,MB_SummerFit,INF002,a632487a-f3a0-46f3-bd32-b4680ed224cc,Omega 3,2025-05-14 09:59:54,1,1048.64
TRK00047,influencer_marketing,MB_SummerFit,INF002,a33946bf-7d3a-4bae-ac5b-ac546392ee94,BCAA,2025-05-17 09:59:54,1,1870.91
TRK00048,influencer_marketing,HKV_GlowUp,INF002,887bbf84-f4c2-4359-a55f-f48bf0706dd4,Omega 3,2025-05-18 09:59:54,1,1173.81
TRK00049,influencer_marketing,HKV_DailyWellness,INF002,080c0d3c-e40d-42f1-98e0-b91972c46df4,SuperMilk for Kids,2025-05-17 09:59:54,1,855.92
TRK00050,influencer_marketing,HKV_DailyWellness,INF002,1ac2c0bd-993a-481e-a069-c3c4e3b9d43d,Omega 3,2025-05-15 09:59:54,1,1809.37
TRK00051,influencer_marketing,HKV_DailyWellness,INF002,87d231d6-005a-4b27-980e-bb30c5297b7a,Mass Gainer,2025-05-18 09:59:54,1,1551.42
TRK00052,influencer_marketing,MB_NewYearBulk,INF002,de50df3e-1124-430e-9ec7-9dc8cd9803cb,Omega 3,2025-05-14 09:59:54,1,1916.2
TRK00053,influencer_marketing,HKV_GlowUp,INF002,061cdb22-3ff1-489d-ae82-853ff1ce8f69,Multivitamin,2025-05-16 09:59:54,1,1060.71
TRK00054,influencer_marketing,MB_NewYearBulk,INF002,338047ac-ab1c-4d11-b46d-514fa446c9c3,Multivitamin,2025-05-18 09:59:54,1,716.33
TRK00055,influencer_marketing,HKV_GlowUp,INF002,34460a86-e162-43ad-bec9-09f9e0df3334,Multivitamin,2025-03-30 09:35:35,1,1208.99
TRK00056,influencer_marketing,Gritzo_KidsHealth,INF002,47fe9fb2-e76a-41e3-9939-6c926a0c47fd,BCAA,2025-03-30 09:35:35,1,2091.24
TRK00057,influencer_marketing,MB_NewYearBulk,INF002,3f4d4435-bdca-42b5-9d4a-f5a80713b46d,Biotin,2025-03-26 09:35:35,1,445.72
TRK00058,influencer_marketing,MB_NewYearBulk,INF002,7d93e261-8197-4d94-bb46-71f34eb0417f,Gummy Stars,2025-03-28 09:35:35,1,430.61
TRK00059,influencer_marketing,HKV_DailyWellness,INF002,ed0114e0-d7cb-4ccc-86b2-c9e2f46dd659,Gummy Stars,2025-03-28 09:35:35,1,338.76
TRK00060,influencer_marketing,MB_SummerFit,INF002,049fb30a-f40a-4d5b-a171-b59c6b51b634,Mass Gainer,2025-03-27 09:35:35,1,4667.5
